epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.5015296339988708,
0,71,,,0.4471516013145447
0,71,0.5058557391166687,,
1,99,,0.3995576500892639,
1,143,,,0.35067906975746155
1,143,0.3975820243358612,,
2,149,,0.34894025325775146,
2,199,,0.2816930413246155,
2,215,,,0.27370524406433105
2,215,0.3105699419975281,,
3,249,,0.2707463800907135,
3,287,,,0.2140427827835083
3,287,0.24191175401210785,,
4,299,,0.20582376420497894,
4,349,,0.17151658236980438,
4,359,,,0.16806969046592712
4,359,0.18895961344242096,,
5,399,,0.1507975459098816,
5,431,,,0.1337961107492447
5,431,0.14890679717063904,,
6,449,,0.12930259108543396,
6,499,,0.10841235518455505,
6,503,,,0.10883920639753342
6,503,0.11934295296669006,,
7,549,,0.09188640117645264,
7,575,,,0.09103967249393463
7,575,0.09801720082759857,,
8,599,,0.09730233997106552,
8,647,,,0.07864995300769806
8,647,0.08305668085813522,,
9,649,,0.09419119358062744,
9,699,,0.07156214118003845,
9,719,,,0.07033442705869675
9,719,0.07282331585884094,,
10,749,,0.06700190156698227,
10,791,,,0.06482838839292526
10,791,0.06603629887104034,,
11,799,,0.0593550018966198,
11,849,,0.058958541601896286,
11,863,,,0.06132997199892998
11,863,0.06166357174515724,,
12,899,,0.05426057055592537,
12,935,,,0.05918436869978905
12,935,0.058927275240421295,,
13,949,,0.05817980319261551,
13,999,,0.05856074392795563,
13,1007,,,0.05787396803498268
13,1007,0.05727666988968849,,
14,1049,,0.05624829977750778,
14,1079,,,0.05711086094379425
14,1079,0.0563041977584362,,
15,1099,,0.05207296088337898,
15,1149,,0.05982033908367157,
15,1151,,,0.05666639283299446
15,1151,0.05575360730290413,,
16,1199,,0.06157455965876579,
16,1223,,,0.05642612278461456
16,1223,0.0554560087621212,,
17,1249,,0.05504530668258667,
17,1295,,,0.05630358308553696
17,1295,0.055297572165727615,,
18,1299,,0.052782926708459854,
18,1349,,0.05560388043522835,
18,1367,,,0.056234732270240784
18,1367,0.055220186710357666,,
19,1399,,0.05479326844215393,
19,1439,,,0.056189361959695816
19,1439,0.055179014801979065,,
